X1/0.980000,X2/0.880000,X3/0.490000,X4/0.440000,
X1/0.960000,X2/0.760000,X3/0.650000,X4/0.160000,
X1/0.940000,X2/0.610000,X3/0.310000,X4/0.080000,
X1/0.920000,X2/0.390000,X3/0.560000,X4/0.590000,
X1/0.890000,X2/0.980000,X3/0.670000,X4/0.290000,
X1/0.870000,X2/0.760000,X3/0.910000,X4/0.920000,
X1/0.850000,X2/0.490000,X3/0.870000,X4/0.020000,
X1/0.820000,X2/0.920000,X3/0.440000,X4/0.490000,
X1/0.800000,X2/0.610000,X3/0.280000,X4/0.960000,
X1/0.770000,X2/0.940000,X3/0.480000,X4/0.210000,
X1/0.750000,X2/0.530000,X3/0.680000,X4/0.970000,
X1/0.720000,X2/0.720000,X3/0.960000,X4/0.660000,
X1/0.690000,X2/0.770000,X3/0.560000,X4/0.800000,
X1/0.660000,X2/0.690000,X3/0.700000,X4/0.660000,
X1/0.630000,X2/0.330000,X3/0.880000,X4/0.040000,
X1/0.590000,X2/0.570000,X3/0.880000,X4/0.710000,
X1/0.550000,X2/0.150000,X3/0.780000,X4/0.390000,
X1/0.490000,X2/0.900000,X3/0.720000,X4/0.660000,
X1/0.420000,X2/0.890000,X3/0.660000,X4/0.790000,
X1/0.350000,X2/0.170000,X3/0.780000,X4/0.570000,
X1/0.260000,X2/0.860000,X3/0.430000,X4/0.660000,
X1/0.140000,X2/0.930000,X3/0.660000,X4/0.800000,
