X1/0.970000,X2/0.690000,X3/0.090000,X4/0.070000,
X1/0.940000,X2/0.210000,X3/0.860000,X4/0.040000,
X1/0.910000,X2/0.750000,X3/0.780000,X4/0.260000,
X1/0.890000,X2/0.280000,X3/0.870000,X4/0.210000,
X1/0.860000,X2/0.760000,X3/0.880000,X4/0.050000,
X1/0.840000,X2/0.250000,X3/0.560000,X4/0.840000,
X1/0.810000,X2/0.710000,X3/0.290000,X4/0.680000,
X1/0.780000,X2/0.960000,X3/0.500000,X4/0.420000,
X1/0.760000,X2/0.370000,X3/0.780000,X4/0.120000,
X1/0.730000,X2/0.600000,X3/0.960000,X4/0.430000,
X1/0.700000,X2/0.640000,X3/0.530000,X4/0.530000,
X1/0.670000,X2/0.530000,X3/0.730000,X4/0.930000,
X1/0.630000,X2/0.970000,X3/0.660000,X4/0.670000,
X1/0.600000,X2/0.390000,X3/0.790000,X4/0.280000,
X1/0.560000,X2/0.130000,X3/0.580000,X4/0.510000,
X1/0.510000,X2/0.640000,X3/0.610000,X4/0.910000,
X1/0.450000,X2/0.070000,X4/0.910000,
X1/0.380000,X2/0.550000,X3/0.780000,X4/0.730000,
X1/0.290000,X2/0.780000,X3/0.180000,X4/0.590000,
X1/0.190000,X2/0.950000,X3/0.610000,X4/0.850000,
