X1/0.980000,X2/0.590000,X3/0.820000,X4/0.910000,
X1/0.940000,X2/0.870000,X3/0.830000,X4/0.140000,
X1/0.920000,X2/0.380000,X3/0.740000,X4/0.050000,
X1/0.880000,X2/0.630000,X3/0.710000,X4/0.600000,
X1/0.850000,X2/0.790000,X3/0.480000,X4/0.490000,
X1/0.820000,X2/0.910000,X3/0.730000,X4/0.550000,
X1/0.800000,X2/0.190000,X3/0.670000,X4/0.120000,
X1/0.770000,X2/0.290000,X3/0.620000,
X1/0.730000,X2/0.990000,X3/0.770000,X4/0.460000,
X1/0.700000,X2/0.720000,X3/0.180000,X4/0.410000,
X1/0.660000,X2/0.960000,X3/0.440000,X4/0.550000,
X1/0.630000,X2/0.370000,X3/0.530000,X4/0.260000,
X1/0.580000,X2/0.980000,X3/0.570000,X4/0.690000,
X1/0.530000,X2/0.900000,X3/0.730000,X4/0.300000,
X1/0.470000,X2/0.890000,X3/0.580000,X4/0.560000,
X1/0.400000,X2/0.990000,X3/0.580000,X4/0.620000,
X1/0.320000,X2/0.640000,X3/0.650000,X4/0.970000,
X1/0.190000,X2/0.730000,X3/0.850000,X4/0.640000,
