X1/0.980000,X2/0.840000,X3/0.310000,X4/0.810000,
X1/0.950000,X2/0.570000,X3/0.830000,X4/0.320000,
X1/0.920000,X2/0.060000,X3/0.900000,X4/0.630000,
X1/0.880000,X2/0.710000,X3/0.880000,X4/0.950000,
X1/0.860000,X2/0.190000,X3/0.600000,X4/0.530000,
X1/0.830000,X2/0.700000,X3/0.200000,X4/0.740000,
X1/0.800000,X2/0.950000,X3/0.110000,X4/0.470000,
X1/0.780000,X2/0.320000,X3/0.500000,X4/0.340000,
X1/0.750000,X2/0.560000,X3/0.900000,X4/0.370000,
X1/0.720000,X2/0.640000,X3/0.870000,X4/0.890000,
X1/0.690000,X2/0.590000,X3/0.770000,X4/0.710000,
X1/0.660000,X2/0.270000,X3/0.340000,X4/0.280000,
X1/0.620000,X2/0.700000,X3/0.820000,X4/0.720000,
X1/0.580000,X2/0.630000,X3/0.580000,X4/0.490000,
X1/0.530000,X2/0.890000,X3/0.610000,X4/0.120000,
X1/0.470000,X2/0.980000,X3/0.440000,X4/0.200000,
X1/0.410000,X2/0.570000,X3/0.800000,X4/0.370000,
X1/0.330000,X2/0.360000,X3/0.580000,X4/0.620000,
X1/0.200000,X2/0.830000,X3/0.580000,X4/0.830000,
