X1/0.990000,X2/0.200000,X3/0.880000,X4/0.130000,
X1/0.950000,X2/0.330000,X3/0.820000,X4/0.460000,
X1/0.930000,X2/0.450000,X3/0.160000,X4/0.230000,
X1/0.900000,X2/0.540000,X3/0.870000,X4/0.300000,
X1/0.870000,X2/0.610000,X3/0.710000,X4/0.920000,
X1/0.850000,X2/0.680000,X3/0.300000,X4/0.040000,
X1/0.830000,X2/0.740000,X3/0.540000,X4/0.590000,
X1/0.810000,X2/0.800000,X3/0.190000,X4/0.270000,
X1/0.780000,X2/0.830000,X4/0.070000,
X1/0.760000,X2/0.820000,X3/0.870000,X4/0.410000,
X1/0.730000,X2/0.780000,X3/0.730000,X4/0.160000,
X1/0.710000,X2/0.730000,X3/0.450000,X4/0.410000,
X1/0.690000,X2/0.660000,X3/0.440000,X4/0.800000,
X1/0.670000,X2/0.560000,X3/0.600000,X4/0.960000,
X1/0.650000,X2/0.400000,X3/0.490000,X4/0.060000,
X1/0.630000,X2/0.110000,X3/0.230000,X4/0.720000,
X1/0.600000,X2/0.810000,X3/0.470000,X4/0.180000,
X1/0.580000,X2/0.580000,X3/0.220000,X4/0.720000,
X1/0.560000,X3/0.630000,X4/0.070000,
X1/0.530000,X2/0.640000,X3/0.150000,X4/0.720000,
X1/0.490000,X2/0.890000,X3/0.600000,X4/0.490000,
X1/0.460000,X2/0.150000,X3/0.840000,X4/0.820000,
X1/0.430000,X2/0.330000,X3/0.470000,X4/0.510000,
X1/0.390000,X2/0.320000,X3/0.220000,X4/0.030000,
X1/0.360000,X2/0.230000,X3/0.700000,X4/0.570000,
X1/0.320000,X2/0.990000,X3/0.840000,X4/0.180000,
X1/0.290000,X2/0.830000,X3/0.510000,X4/0.750000,
X1/0.250000,X2/0.590000,X3/0.650000,X4/0.580000,
X1/0.210000,X2/0.820000,X3/0.420000,X4/0.350000,
X1/0.170000,X2/0.650000,X3/0.680000,X4/0.100000,
X1/0.110000,X2/0.710000,X3/0.840000,X4/0.500000,
X2/0.500000,X3/0.600000,X4/0.960000,
