X1/0.930000,X2/0.240000,X3/0.950000,X4/0.560000,
X1/0.910000,X2/0.390000,X3/0.640000,X4/0.470000,
X1/0.880000,X2/0.550000,X3/0.460000,X4/0.750000,
X1/0.840000,X2/0.660000,X3/0.720000,
X1/0.820000,X2/0.770000,X3/0.770000,X4/0.020000,
X1/0.790000,X2/0.880000,X3/0.160000,X4/0.570000,
X1/0.760000,X2/0.970000,X3/0.410000,X4/0.920000,
X1/0.750000,X2/0.130000,X3/0.050000,X4/0.770000,
X1/0.720000,X2/0.230000,X3/0.550000,X4/0.980000,
X1/0.700000,X2/0.260000,X3/0.500000,X4/0.460000,
X1/0.680000,X2/0.280000,X3/0.380000,X4/0.040000,
X1/0.650000,X2/0.280000,X3/0.920000,X4/0.310000,
X1/0.620000,X2/0.250000,X3/0.910000,X4/0.130000,
X1/0.600000,X2/0.180000,X3/0.890000,X4/0.190000,
X1/0.580000,X2/0.040000,X3/0.960000,X4/0.890000,
X1/0.530000,X2/0.970000,X3/0.920000,X4/0.950000,
X1/0.510000,X2/0.890000,X3/0.050000,X4/0.540000,
X1/0.490000,X2/0.770000,X3/0.820000,X4/0.710000,
X1/0.470000,X2/0.640000,X3/0.600000,X4/0.400000,
X1/0.450000,X2/0.410000,X3/0.770000,X4/0.440000,
X1/0.430000,X2/0.120000,X3/0.400000,X4/0.520000,
X1/0.400000,X2/0.820000,X3/0.850000,X4/0.430000,
X1/0.380000,X2/0.550000,X3/0.080000,X4/0.700000,
X1/0.350000,X2/0.990000,X3/0.960000,X4/0.660000,
X1/0.330000,X2/0.610000,X3/0.370000,X4/0.740000,
X1/0.300000,X2/0.820000,X3/0.300000,X4/0.970000,
X1/0.270000,X2/0.820000,X3/0.840000,X4/0.880000,
X1/0.240000,X2/0.670000,X3/0.720000,X4/0.930000,
X1/0.210000,X2/0.230000,X3/0.130000,X4/0.050000,
X1/0.170000,X2/0.350000,X3/0.540000,X4/0.270000,
X1/0.120000,X2/0.510000,X3/0.910000,X4/0.070000,
X2/0.900000,X3/0.860000,X4/0.710000,
