X1/0.990000,X2/0.280000,X3/0.880000,X4/0.540000,
X1/0.970000,X2/0.470000,X3/0.710000,X4/0.950000,
X1/0.950000,X2/0.630000,X3/0.170000,X4/0.390000,
X1/0.930000,X2/0.730000,X3/0.750000,X4/0.070000,
X1/0.910000,X2/0.820000,X3/0.780000,X4/0.770000,
X1/0.890000,X2/0.900000,X3/0.340000,X4/0.370000,
X1/0.870000,X2/0.960000,X3/0.380000,X4/0.700000,
X1/0.860000,X2/0.030000,X3/0.560000,X4/0.770000,
X1/0.840000,X2/0.120000,X3/0.940000,X4/0.060000,
X1/0.820000,X2/0.080000,X3/0.850000,X4/0.160000,
X1/0.780000,X2/0.990000,X3/0.940000,X4/0.420000,
X1/0.760000,X2/0.920000,X3/0.470000,X4/0.600000,
X1/0.740000,X2/0.840000,X3/0.550000,X4/0.800000,
X1/0.720000,X2/0.740000,X3/0.530000,X4/0.390000,
X1/0.700000,X2/0.580000,X3/0.960000,X4/0.430000,
X1/0.680000,X2/0.370000,X3/0.670000,X4/0.430000,
X1/0.650000,X2/0.970000,X3/0.970000,X4/0.310000,
X1/0.630000,X2/0.740000,X3/0.430000,X4/0.410000,
X1/0.610000,X2/0.430000,X3/0.520000,X4/0.190000,
X1/0.580000,X2/0.910000,X3/0.630000,X4/0.970000,
X1/0.560000,X2/0.400000,X3/0.260000,X4/0.310000,
X1/0.530000,X2/0.670000,X3/0.080000,X4/0.660000,
X1/0.500000,X2/0.810000,X3/0.780000,X4/0.260000,
X1/0.460000,X2/0.950000,X3/0.870000,X4/0.080000,
X1/0.430000,X2/0.070000,X3/0.270000,X4/0.970000,
X1/0.380000,X2/0.990000,X3/0.700000,X4/0.640000,
X1/0.350000,X2/0.870000,X3/0.600000,X4/0.770000,
X1/0.320000,X2/0.670000,X3/0.840000,X4/0.260000,
X1/0.290000,X2/0.270000,X3/0.670000,X4/0.640000,
X1/0.250000,X2/0.670000,X3/0.600000,X4/0.400000,
X1/0.210000,X2/0.570000,X3/0.280000,X4/0.490000,
X1/0.160000,X2/0.510000,X3/0.630000,X4/0.820000,
X1/0.090000,X2/0.290000,X3/0.300000,X4/0.230000,
