X1/0.970000,X2/0.740000,X3/0.240000,X4/0.700000,
X1/0.950000,X2/0.380000,X3/0.590000,X4/0.180000,
X1/0.920000,X2/0.930000,X3/0.720000,X4/0.920000,
X1/0.900000,X2/0.610000,X3/0.500000,X4/0.670000,
X1/0.880000,X2/0.190000,X3/0.610000,X4/0.840000,
X1/0.850000,X2/0.770000,X3/0.640000,X4/0.060000,
X1/0.830000,X2/0.380000,X3/0.040000,X4/0.620000,
X1/0.800000,X2/0.840000,X3/0.210000,X4/0.390000,
X1/0.780000,X2/0.360000,X3/0.870000,X4/0.770000,
X1/0.750000,X2/0.730000,X3/0.280000,X4/0.380000,
X1/0.720000,X2/0.980000,X3/0.580000,X4/0.910000,
X1/0.700000,X2/0.290000,X3/0.390000,X4/0.860000,
X1/0.670000,X2/0.480000,X3/0.490000,X4/0.270000,
X1/0.640000,X2/0.590000,X3/0.970000,X4/0.880000,
X1/0.610000,X2/0.620000,X3/0.670000,X4/0.340000,
X1/0.580000,X2/0.490000,X3/0.480000,X4/0.460000,
X1/0.550000,X2/0.220000,X3/0.530000,X4/0.350000,
X1/0.510000,X2/0.730000,X3/0.870000,X4/0.900000,
X1/0.460000,X2/0.900000,X3/0.070000,X4/0.110000,
X1/0.420000,X2/0.790000,X3/0.810000,X4/0.130000,
X1/0.370000,X2/1.000000,X3/0.060000,X4/0.800000,
X1/0.320000,X2/0.870000,X3/0.350000,X4/0.790000,
X1/0.270000,X2/0.110000,X3/0.780000,X4/0.180000,
X1/0.200000,X2/0.170000,X3/0.690000,X4/0.290000,
X1/0.090000,X2/0.610000,X3/0.970000,X4/0.060000,
