X1/0.990000,X2/0.230000,X3/0.350000,X4/0.310000,
X1/0.960000,X2/0.380000,X3/0.540000,X4/0.780000,
X1/0.920000,X2/0.520000,X3/0.180000,X4/0.840000,
X1/0.900000,X2/0.600000,X3/0.460000,X4/0.800000,
X1/0.870000,X2/0.670000,X3/0.900000,X4/0.840000,
X1/0.840000,X2/0.740000,X3/0.880000,X4/0.040000,
X1/0.820000,X2/0.810000,X3/0.190000,X4/0.980000,
X1/0.800000,X2/0.850000,X3/0.810000,X4/0.650000,
X1/0.780000,X2/0.870000,X3/0.270000,X4/0.960000,
X1/0.760000,X2/0.870000,X3/0.290000,X4/0.280000,
X1/0.740000,X2/0.860000,X3/0.160000,X4/0.950000,
X1/0.720000,X2/0.820000,X3/0.690000,X4/0.040000,
X1/0.670000,X2/0.770000,X3/0.550000,X4/0.910000,
X1/0.630000,X2/0.710000,X3/0.130000,X4/0.050000,
X1/0.610000,X2/0.640000,X3/0.870000,X4/0.940000,
X1/0.580000,X2/0.560000,X3/0.810000,X4/0.200000,
X1/0.550000,X2/0.450000,X3/0.840000,X4/0.040000,
X1/0.530000,X2/0.270000,X3/0.930000,X4/0.570000,
X1/0.490000,X2/0.980000,X3/0.620000,X4/0.690000,
X1/0.460000,X2/0.790000,X3/0.900000,X4/0.760000,
X1/0.400000,X2/0.600000,X3/0.700000,X4/0.800000,
X1/0.380000,X2/0.310000,X3/0.890000,X4/0.050000,
X1/0.350000,X2/0.920000,X3/0.970000,X4/0.060000,
X1/0.330000,X2/0.650000,X3/0.120000,X4/0.200000,
X1/0.310000,X2/0.250000,X3/0.720000,
X1/0.280000,X2/0.770000,X3/0.620000,X4/0.860000,
X1/0.260000,X2/0.270000,X3/0.650000,X4/0.530000,
X1/0.220000,X2/0.600000,X3/0.070000,X4/0.750000,
X1/0.190000,X2/0.670000,X3/0.860000,X4/0.470000,
X1/0.160000,X2/0.660000,X3/0.100000,X4/0.950000,
X1/0.130000,X2/0.560000,X3/0.640000,X4/0.240000,
X1/0.100000,X2/0.100000,X3/0.240000,X4/0.730000,
X1/0.060000,X2/0.320000,X3/0.870000,X4/0.090000,
X2/0.280000,X3/0.890000,X4/0.290000,
