X1/0.980000,X2/0.920000,X3/0.710000,X4/0.510000,
X1/0.960000,X2/0.800000,X3/0.300000,X4/0.030000,
X1/0.940000,X2/0.670000,X3/0.550000,X4/0.300000,
X1/0.920000,X2/0.540000,X3/0.650000,X4/0.160000,
X1/0.900000,X2/0.380000,X3/0.210000,X4/0.390000,
X1/0.880000,X2/0.140000,X3/0.580000,X4/0.590000,
X1/0.850000,X2/0.910000,X3/0.740000,X4/0.310000,
X1/0.830000,X2/0.700000,X3/0.300000,X4/0.300000,
X1/0.810000,X2/0.450000,X3/0.890000,X4/0.900000,
X1/0.790000,X2/0.120000,X3/0.190000,X4/0.970000,
X1/0.760000,X2/0.820000,X3/0.040000,X4/0.840000,
X1/0.740000,X2/0.480000,X3/0.270000,X4/0.540000,
X1/0.700000,X2/0.950000,X3/0.550000,X4/0.830000,
X1/0.680000,X2/0.540000,X3/0.880000,X4/0.110000,
X1/0.640000,X2/0.970000,X3/0.400000,X4/0.990000,
X1/0.620000,X2/0.490000,X3/0.610000,X4/0.680000,
X1/0.590000,X2/0.790000,X3/0.150000,X4/0.470000,
X1/0.570000,X3/0.060000,X4/0.220000,
X1/0.540000,X2/0.250000,X3/0.800000,X4/0.880000,
X1/0.510000,X2/0.270000,X3/0.240000,X4/0.100000,
X1/0.480000,X2/0.100000,X3/0.720000,X4/0.530000,
X1/0.430000,X2/0.860000,X3/0.290000,X4/0.740000,
X1/0.400000,X2/0.550000,X3/0.570000,X4/0.920000,
X1/0.360000,X2/0.980000,X3/0.280000,X4/0.880000,
X1/0.330000,X2/0.420000,X3/0.720000,X4/0.180000,
X1/0.290000,X2/0.530000,X3/0.860000,X4/0.880000,
X1/0.250000,X2/0.270000,X3/0.530000,X4/0.900000,
X1/0.190000,X2/0.280000,X3/0.640000,X4/0.490000,
X1/0.120000,X2/0.490000,X3/0.720000,X4/0.550000,
X2/0.280000,X3/0.890000,X4/0.310000,
