X1/0.980000,X2/0.910000,X3/0.120000,X4/0.300000,
X1/0.950000,X2/0.790000,X3/0.720000,X4/0.240000,
X1/0.930000,X2/0.640000,X3/0.880000,X4/0.490000,
X1/0.910000,X2/0.370000,X3/0.350000,X4/0.640000,
X1/0.880000,X2/0.950000,X3/0.880000,X4/0.980000,
X1/0.860000,X2/0.780000,X3/0.840000,X4/0.220000,
X1/0.840000,X2/0.570000,X3/0.240000,X4/0.030000,
X1/0.810000,X2/1.000000,X3/0.330000,X4/0.150000,
X1/0.790000,X2/0.750000,X3/0.700000,X4/0.070000,
X1/0.770000,X2/0.150000,X3/0.660000,X4/0.180000,
X1/0.740000,X2/0.660000,X3/0.520000,X4/0.790000,
X1/0.710000,X2/0.810000,X3/0.580000,X4/0.790000,
X1/0.680000,X2/0.890000,X3/0.450000,X4/0.870000,
X1/0.650000,X2/0.880000,X3/0.200000,X4/0.590000,
X1/0.620000,X2/0.730000,X3/0.710000,X4/0.330000,
X1/0.580000,X2/0.940000,X3/0.640000,X4/0.590000,
X1/0.540000,X2/0.800000,X3/0.610000,X4/0.720000,
X1/0.470000,X2/0.940000,X3/0.890000,X4/0.920000,
X1/0.380000,X2/0.970000,X3/0.620000,X4/0.670000,
X1/0.260000,X2/0.890000,X3/0.680000,X4/0.690000,
X1/0.100000,X2/0.750000,X3/0.880000,X4/0.760000,
