X1/0.980000,X2/0.820000,X3/0.470000,X4/0.490000,
X1/0.960000,X2/0.570000,X3/0.670000,X4/0.060000,
X1/0.930000,X2/0.910000,X3/0.730000,X4/0.160000,
X1/0.910000,X2/0.580000,X3/0.510000,X4/0.530000,
X1/0.880000,X2/0.830000,X3/0.850000,X4/0.840000,
X1/0.860000,X2/0.160000,X3/0.810000,X4/0.970000,
X1/0.830000,X2/0.650000,X3/0.260000,X4/0.260000,
X1/0.800000,X2/0.810000,X3/0.710000,X4/0.370000,
X1/0.770000,X2/0.910000,X3/0.950000,X4/0.250000,
X1/0.740000,X2/0.960000,X3/0.520000,X4/0.710000,
X1/0.710000,X2/0.850000,X3/0.890000,X4/0.880000,
X1/0.680000,X2/0.530000,X4/0.320000,
X1/0.640000,X2/0.710000,X3/0.410000,X4/0.210000,
X1/0.600000,X2/0.690000,X3/0.940000,X4/0.770000,
X1/0.550000,X2/0.680000,X3/0.090000,X4/0.780000,
X1/0.460000,X2/0.920000,X3/0.900000,X4/0.830000,
X1/0.320000,X2/0.770000,X3/0.420000,X4/0.930000,
X1/0.160000,X2/0.580000,X3/0.920000,X4/0.320000,
