X1/0.980000,X2/0.710000,X3/0.700000,X4/0.470000,
X1/0.960000,X2/0.120000,X3/0.550000,
X1/0.930000,X2/0.690000,X3/0.500000,X4/0.710000,
X1/0.900000,X2/0.970000,X3/0.800000,X4/0.240000,
X1/0.880000,X2/0.470000,X3/0.930000,X4/0.110000,
X1/0.850000,X2/0.670000,X3/0.690000,X4/0.030000,
X1/0.820000,X2/0.770000,X3/0.590000,X4/0.260000,
X1/0.790000,X2/0.810000,X3/0.660000,X4/0.950000,
X1/0.760000,X2/0.760000,X3/0.920000,X4/0.870000,
X1/0.730000,X2/0.670000,X3/0.990000,X4/0.910000,
X1/0.700000,X2/0.380000,X3/0.990000,X4/0.490000,
X1/0.660000,X2/0.830000,X3/0.980000,X4/0.950000,
X1/0.630000,X2/0.290000,X3/0.080000,X4/0.600000,
X1/0.590000,X2/0.520000,X3/0.950000,X4/0.430000,
X1/0.540000,X2/0.850000,X3/0.600000,X4/0.240000,
X1/0.450000,X2/0.820000,X3/0.940000,X4/0.670000,
X1/0.380000,X2/0.140000,X3/0.710000,X4/0.730000,
X1/0.270000,X2/0.940000,X3/0.550000,X4/0.030000,
X1/0.150000,X2/0.900000,X3/0.570000,X4/0.330000,
