X1/0.990000,X2/0.430000,X3/0.960000,X4/0.210000,
X1/0.940000,X2/0.720000,X3/0.690000,X4/0.100000,
X1/0.920000,X2/0.940000,X3/0.910000,X4/0.390000,
X1/0.900000,X2/0.320000,X3/0.980000,X4/0.870000,
X1/0.880000,X2/0.580000,X3/0.640000,X4/0.270000,
X1/0.850000,X2/0.770000,X3/0.260000,X4/0.330000,
X1/0.830000,X2/0.920000,X3/0.090000,X4/0.070000,
X1/0.820000,X2/0.180000,X3/0.580000,X4/0.760000,
X1/0.800000,X2/0.410000,X3/0.500000,X4/0.690000,
X1/0.780000,X2/0.590000,X3/0.790000,X4/0.120000,
X1/0.760000,X2/0.730000,X3/0.610000,X4/0.940000,
X1/0.730000,X2/0.830000,X3/0.060000,X4/0.320000,
X1/0.700000,X2/0.880000,X3/0.440000,X4/0.440000,
X1/0.680000,X2/0.910000,X3/0.780000,X4/0.340000,
X1/0.660000,X2/0.940000,X3/0.100000,X4/0.600000,
X1/0.640000,X2/0.940000,X3/0.590000,X4/0.350000,
X1/0.620000,X2/0.920000,X3/0.600000,X4/0.320000,
X1/0.600000,X2/0.860000,X3/0.910000,X4/0.470000,
X1/0.580000,X2/0.760000,X3/0.540000,X4/0.570000,
X1/0.560000,X2/0.580000,X3/0.580000,X4/0.510000,
X1/0.540000,X2/0.180000,X3/0.480000,X4/0.540000,
X1/0.510000,X2/0.740000,X3/0.780000,X4/0.890000,
X1/0.480000,X2/0.990000,X3/0.770000,X4/0.360000,
X1/0.450000,X2/0.520000,X3/0.430000,X4/0.020000,
X1/0.420000,X2/0.710000,X3/0.850000,X4/0.170000,
X1/0.390000,X2/0.740000,X3/0.750000,X4/0.600000,
X1/0.360000,X2/0.580000,X3/0.750000,X4/0.020000,
X1/0.320000,X2/0.980000,X3/0.560000,X4/0.480000,
X1/0.290000,X2/0.550000,X3/0.570000,X4/0.550000,
X1/0.250000,X2/0.550000,X3/0.310000,X4/0.780000,
X1/0.200000,X2/0.900000,X3/0.110000,X4/0.610000,
X1/0.150000,X2/0.620000,X3/0.320000,X4/0.590000,
X1/0.060000,X3/0.910000,X4/0.560000,
