X1/0.990000,X2/0.490000,X3/0.040000,X4/0.180000,
X1/0.970000,X2/0.770000,X3/0.880000,X4/0.620000,
X1/0.960000,X2/0.160000,X4/0.340000,
X1/0.940000,X2/0.540000,X3/0.460000,X4/0.760000,
X1/0.920000,X2/0.810000,X3/0.050000,X4/0.900000,
X1/0.910000,X2/0.170000,X3/0.960000,X4/0.590000,
X1/0.890000,X2/0.530000,X3/0.580000,X4/0.210000,
X1/0.870000,X2/0.770000,X3/0.840000,X4/0.420000,
X1/0.850000,X2/1.000000,X3/0.740000,X4/0.150000,
X1/0.840000,X2/0.410000,X3/0.780000,X4/0.730000,
X1/0.820000,X2/0.650000,X3/0.900000,X4/0.290000,
X1/0.800000,X2/0.850000,X3/0.540000,X4/0.570000,
X1/0.780000,X2/0.150000,X3/0.350000,X4/0.860000,
X1/0.760000,X2/0.450000,X3/0.840000,X4/0.360000,
X1/0.740000,X2/0.640000,X3/0.700000,X4/0.580000,
X1/0.720000,X2/0.790000,X3/0.640000,X4/0.770000,
X1/0.700000,X2/0.930000,X3/0.880000,X4/0.570000,
X1/0.690000,X2/0.150000,X3/0.370000,X4/0.830000,
X1/0.670000,X2/0.300000,X3/0.690000,X4/0.050000,
X1/0.650000,X2/0.400000,X3/0.640000,X4/0.820000,
X1/0.630000,X2/0.440000,X3/0.700000,X4/0.210000,
X1/0.610000,X2/0.420000,X3/0.410000,X4/0.510000,
X1/0.590000,X2/0.380000,X3/0.880000,X4/0.310000,
X1/0.570000,X2/0.330000,X3/0.690000,X4/0.450000,
X1/0.550000,X2/0.110000,X3/0.970000,X4/0.370000,
X1/0.520000,X2/0.880000,X3/0.130000,X4/0.780000,
X1/0.500000,X2/0.620000,X3/0.640000,X4/0.400000,
X1/0.470000,X2/0.150000,X4/0.660000,
X1/0.430000,X2/0.740000,X3/0.340000,X4/0.060000,
X1/0.410000,X2/0.290000,X3/0.720000,X4/0.840000,
X1/0.380000,X2/0.740000,X3/0.460000,X4/0.230000,
X1/0.360000,X2/0.190000,X3/0.400000,X4/0.800000,
X1/0.330000,X2/0.630000,X3/0.550000,X4/0.510000,
X1/0.280000,X2/0.840000,X3/0.380000,X4/0.230000,
X1/0.260000,X2/0.150000,X3/0.560000,X4/0.560000,
X1/0.230000,X2/0.460000,X3/0.570000,X4/0.830000,
X1/0.200000,X2/0.520000,X3/0.710000,X4/0.420000,
X1/0.160000,X2/0.830000,X3/0.930000,X4/0.080000,
X1/0.120000,X2/0.660000,X3/0.890000,X4/0.450000,
X1/0.030000,X2/0.240000,X4/0.340000,
