X1/0.990000,X2/0.400000,X3/0.230000,X4/0.700000,
X1/0.940000,X2/0.680000,X3/0.820000,X4/0.450000,
X1/0.920000,X2/0.920000,X3/0.280000,X4/0.540000,
X1/0.910000,X2/0.270000,X3/0.660000,X4/0.430000,
X1/0.880000,X2/0.580000,X3/0.190000,X4/0.490000,
X1/0.860000,X2/0.810000,X3/0.940000,X4/0.450000,
X1/0.850000,X2/0.070000,X3/0.120000,
X1/0.830000,X2/0.380000,X3/0.260000,X4/0.890000,
X1/0.810000,X2/0.620000,X3/0.720000,X4/0.140000,
X1/0.780000,X2/0.810000,X3/0.680000,X4/0.320000,
X1/0.760000,X2/0.980000,X3/0.950000,X4/0.440000,
X1/0.750000,X2/0.280000,X3/0.420000,X4/0.550000,
X1/0.730000,X2/0.480000,X3/0.960000,X4/0.190000,
X1/0.710000,X2/0.650000,X3/0.110000,X4/0.810000,
X1/0.690000,X2/0.750000,X3/0.760000,X4/0.350000,
X1/0.660000,X2/0.850000,X3/0.400000,X4/0.680000,
X1/0.640000,X2/0.900000,X3/0.490000,X4/0.380000,
X1/0.620000,X2/0.930000,X3/0.360000,X4/0.820000,
X1/0.600000,X2/0.910000,X3/0.830000,X4/0.510000,
X1/0.580000,X2/0.880000,X3/0.570000,X4/0.620000,
X1/0.560000,X2/0.810000,X3/0.380000,X4/0.480000,
X1/0.540000,X2/0.660000,X3/0.800000,X4/0.450000,
X1/0.520000,X2/0.300000,X3/0.410000,X4/0.390000,
X1/0.490000,X2/0.750000,X3/0.960000,X4/0.360000,
X1/0.460000,X2/1.000000,X3/0.920000,X4/0.440000,
X1/0.440000,X2/0.530000,X3/0.650000,X4/0.250000,
X1/0.410000,X2/0.730000,X3/0.530000,X4/0.610000,
X1/0.380000,X2/0.830000,X3/0.280000,X4/0.190000,
X1/0.350000,X2/0.860000,X4/0.160000,
X1/0.310000,X2/0.820000,X3/0.490000,X4/0.560000,
X1/0.280000,X2/0.660000,X3/0.540000,X4/0.870000,
X1/0.240000,X2/0.990000,X3/0.850000,X4/0.570000,
X1/0.210000,X2/0.510000,X3/0.910000,X4/0.210000,
X1/0.160000,X2/0.980000,X3/0.200000,X4/0.130000,
X1/0.110000,X2/0.720000,X3/0.930000,X4/0.610000,
X2/0.630000,X3/0.550000,X4/0.520000,
