X1/0.990000,X2/0.540000,X3/0.860000,X4/0.610000,
X1/0.970000,X2/0.920000,X3/0.240000,X4/0.920000,
X1/0.960000,X2/0.440000,X3/0.840000,X4/0.830000,
X1/0.940000,X2/0.800000,X3/0.670000,X4/0.170000,
X1/0.930000,X2/0.270000,X3/0.510000,X4/0.360000,
X1/0.910000,X2/0.640000,X3/0.160000,X4/0.030000,
X1/0.890000,X2/0.920000,X3/0.980000,X4/0.350000,
X1/0.880000,X2/0.370000,X3/0.530000,X4/0.640000,
X1/0.860000,X2/0.680000,X3/0.350000,X4/0.260000,
X1/0.840000,X2/0.930000,X3/0.170000,X4/0.150000,
X1/0.830000,X2/0.340000,X3/0.170000,X4/0.150000,
X1/0.810000,X2/0.630000,X3/0.380000,X4/0.800000,
X1/0.790000,X2/0.860000,X3/0.600000,X4/0.630000,
X1/0.780000,X2/0.190000,X3/0.650000,X4/0.530000,
X1/0.760000,X2/0.460000,X3/0.940000,X4/0.360000,
X1/0.740000,X2/0.680000,X3/0.900000,X4/0.790000,
X1/0.720000,X2/0.870000,X3/0.520000,X4/0.020000,
X1/0.710000,X2/0.100000,X3/0.460000,X4/0.680000,
X1/0.690000,X2/0.300000,X3/0.400000,X4/0.170000,
X1/0.670000,X2/0.390000,X3/0.610000,X4/0.950000,
X1/0.650000,X2/0.440000,X3/0.750000,X4/0.750000,
X1/0.630000,X2/0.440000,X3/0.810000,X4/0.040000,
X1/0.610000,X2/0.350000,X3/0.730000,
X1/0.590000,X2/0.110000,X3/0.380000,X4/0.110000,
X1/0.560000,X2/0.800000,X3/0.850000,X4/0.830000,
X1/0.540000,X2/0.380000,X3/0.350000,X4/0.670000,
X1/0.510000,X2/0.630000,X3/0.980000,X4/0.440000,
X1/0.480000,X2/0.630000,X3/0.380000,X4/0.450000,
X1/0.440000,X2/0.400000,X3/0.060000,X4/0.750000,
X1/0.400000,X2/0.920000,X3/0.140000,X4/0.380000,
X1/0.370000,X2/0.580000,X3/0.110000,X4/0.900000,
X1/0.330000,X2/0.800000,X3/0.500000,X4/0.560000,
X1/0.260000,X2/0.830000,X3/0.790000,X4/0.680000,
X1/0.220000,X2/0.730000,X3/0.120000,X4/0.590000,
X1/0.170000,X2/0.550000,X3/0.600000,X4/0.540000,
X1/0.100000,X2/0.300000,X3/0.170000,X4/0.900000,
