X1/0.990000,X2/0.380000,X3/0.230000,X4/0.960000,
X1/0.940000,X2/0.590000,X3/0.540000,X4/0.050000,
X1/0.920000,X2/0.790000,X3/0.460000,X4/0.980000,
X1/0.860000,X2/0.980000,X3/0.150000,X4/0.260000,
X1/0.850000,X2/0.300000,X3/0.410000,X4/0.080000,
X1/0.830000,X2/0.530000,X3/0.110000,X4/0.830000,
X1/0.810000,X2/0.700000,X3/0.140000,X4/0.950000,
X1/0.790000,X2/0.870000,X3/0.700000,X4/0.890000,
X1/0.780000,X2/0.070000,X3/0.960000,X4/0.980000,
X1/0.760000,X2/0.310000,X3/0.930000,X4/0.030000,
X1/0.740000,X2/0.480000,X3/0.760000,X4/0.150000,
X1/0.720000,X2/0.590000,X3/0.160000,X4/0.670000,
X1/0.700000,X2/0.660000,X3/0.670000,X4/0.260000,
X1/0.670000,X2/0.710000,X3/0.180000,X4/0.110000,
X1/0.650000,X2/0.740000,X3/0.360000,X4/0.670000,
X1/0.630000,X2/0.760000,X3/0.930000,X4/0.230000,
X1/0.610000,X2/0.740000,X3/0.800000,X4/0.620000,
X1/0.590000,X2/0.720000,X3/0.800000,X4/0.970000,
X1/0.570000,X2/0.680000,X3/0.870000,X4/0.790000,
X1/0.550000,X2/0.630000,X3/0.520000,X4/0.900000,
X1/0.520000,X2/0.530000,X3/0.920000,X4/0.560000,
X1/0.500000,X2/0.350000,X3/0.180000,X4/0.560000,
X1/0.470000,X2/1.000000,X3/0.980000,X4/0.290000,
X1/0.450000,X2/0.830000,X3/0.750000,X4/0.510000,
X1/0.430000,X2/0.630000,X3/0.360000,X4/0.320000,
X1/0.410000,X2/0.270000,X3/0.400000,X4/0.380000,
X1/0.380000,X2/0.810000,X3/0.450000,X4/0.920000,
X1/0.360000,X2/0.390000,X3/0.350000,X4/0.390000,
X1/0.330000,X2/0.760000,X3/0.620000,X4/0.820000,
X1/0.300000,X2/0.980000,X3/0.170000,X4/0.610000,
X1/0.280000,X2/0.210000,X3/0.550000,X4/0.100000,
X1/0.240000,X2/0.990000,X3/0.980000,X4/0.860000,
X1/0.210000,X2/0.660000,X3/0.930000,X4/0.990000,
X1/0.170000,X2/0.640000,X3/0.660000,X4/0.380000,
X1/0.130000,X3/0.780000,X4/0.020000,
X1/0.060000,X2/0.810000,X3/0.580000,X4/0.180000,
