X1/0.980000,X2/0.960000,X3/0.510000,X4/0.570000,
X1/0.960000,X2/0.890000,X3/0.890000,X4/0.610000,
X1/0.940000,X2/0.810000,X3/0.880000,X4/0.220000,
X1/0.920000,X2/0.710000,X3/0.710000,X4/0.020000,
X1/0.900000,X2/0.570000,X3/0.890000,X4/0.400000,
X1/0.880000,X2/0.330000,X3/0.120000,X4/0.450000,
X1/0.850000,X2/0.950000,X3/0.350000,X4/0.790000,
X1/0.830000,X2/0.670000,X3/0.810000,X4/0.520000,
X1/0.810000,X2/0.160000,X3/0.730000,X4/0.030000,
X1/0.780000,X2/0.720000,X3/0.640000,X4/0.040000,
X1/0.760000,X2/0.170000,X3/0.470000,X4/0.890000,
X1/0.730000,X2/0.660000,X3/0.660000,X4/0.790000,
X1/0.700000,X2/0.900000,X3/0.280000,X4/0.260000,
X1/0.680000,X2/0.250000,X3/0.360000,X4/0.040000,
X1/0.650000,X2/0.550000,X3/0.310000,X4/0.070000,
X1/0.620000,X2/0.630000,X3/0.450000,X4/0.280000,
X1/0.590000,X2/0.580000,X3/0.300000,X4/0.530000,
X1/0.560000,X2/0.100000,X3/0.860000,X4/0.080000,
X1/0.520000,X2/0.530000,X3/0.710000,X4/0.240000,
X1/0.470000,X2/0.080000,X3/0.920000,X4/0.770000,
X1/0.420000,X2/0.580000,X3/0.480000,X4/0.580000,
X1/0.360000,X2/0.090000,X3/0.480000,X4/0.810000,
X1/0.290000,X2/0.540000,X3/0.720000,X4/0.550000,
X1/0.220000,X2/0.660000,X3/0.470000,X4/0.830000,
X1/0.100000,X2/0.750000,X3/0.860000,X4/0.050000,
