X1/0.970000,X2/0.870000,X3/0.320000,X4/0.080000,
X1/0.930000,X2/0.740000,X3/0.530000,X4/0.500000,
X1/0.910000,X2/0.560000,X3/0.120000,X4/0.740000,
X1/0.860000,X2/0.190000,X3/0.710000,
X1/0.810000,X2/0.860000,X3/0.340000,X4/0.280000,
X1/0.780000,X2/0.680000,X4/0.380000,
X1/0.760000,X2/0.390000,X3/0.560000,X4/0.140000,
X1/0.730000,X2/0.910000,X3/0.030000,X4/0.360000,
X1/0.700000,X2/0.700000,X3/0.410000,X4/0.560000,
X1/0.680000,X2/0.360000,X3/0.210000,X4/0.870000,
X1/0.650000,X2/0.860000,X3/0.920000,X4/0.030000,
X1/0.630000,X2/0.610000,X3/0.260000,X4/0.550000,
X1/0.600000,X2/0.990000,X3/0.130000,X4/0.260000,
X1/0.580000,X2/0.700000,X3/0.190000,X4/0.820000,
X1/0.550000,X2/0.990000,X3/0.700000,X4/0.960000,
X1/0.530000,X2/0.590000,X3/0.880000,X4/0.240000,
X1/0.500000,X2/0.750000,X3/0.350000,X4/0.880000,
X1/0.470000,X2/0.820000,X3/0.520000,X4/0.840000,
X1/0.440000,X2/0.820000,X3/0.380000,X4/0.700000,
X1/0.410000,X2/0.760000,X3/0.630000,X4/0.220000,
X1/0.380000,X2/0.640000,X3/0.810000,X4/0.700000,
X1/0.350000,X2/0.350000,X3/0.030000,X4/0.360000,
X1/0.310000,X2/0.750000,X3/0.220000,X4/0.260000,
X1/0.270000,X2/0.810000,X3/0.850000,X4/0.450000,
X1/0.230000,X2/0.630000,X3/0.350000,X4/0.900000,
X1/0.180000,X2/0.690000,X3/0.960000,X4/0.040000,
X1/0.110000,X2/0.760000,X3/0.780000,X4/0.700000,
