X1/0.970000,X2/0.620000,X3/0.660000,X4/0.870000,
X1/0.930000,X2/0.740000,X3/0.680000,X4/0.550000,
X1/0.880000,X2/0.760000,X3/0.430000,X4/0.520000,
X1/0.840000,X2/0.650000,X3/0.620000,X4/0.530000,
X1/0.790000,X2/0.970000,X3/0.980000,X4/0.530000,
X1/0.740000,X2/0.720000,X3/0.990000,X4/0.760000,
X1/0.690000,X2/0.870000,X3/0.460000,X4/0.880000,
X1/0.640000,X2/0.750000,X3/0.720000,X4/0.830000,
X1/0.570000,X2/0.890000,X3/0.970000,X4/0.350000,
X1/0.440000,X2/0.940000,X3/0.520000,X4/0.600000,
X1/0.200000,X2/0.750000,X3/0.840000,X4/0.830000,
