X1/0.970000,X2/0.720000,X3/0.920000,X4/0.360000,
X1/0.930000,X2/0.910000,X3/0.540000,X4/0.650000,
X1/0.900000,X2/0.060000,X3/0.590000,X4/0.800000,
X1/0.860000,X2/0.310000,X3/0.750000,X4/0.560000,
X1/0.810000,X2/0.930000,X3/0.790000,X4/0.600000,
X1/0.770000,X2/0.660000,X3/0.250000,X4/0.900000,
X1/0.720000,X2/0.760000,X3/0.250000,X4/0.990000,
X1/0.670000,X2/0.450000,X4/0.660000,
X1/0.600000,X2/0.770000,X3/0.760000,X4/0.680000,
X1/0.500000,X2/0.850000,X3/0.830000,X4/0.190000,
X1/0.240000,X2/0.680000,X3/0.750000,X4/0.240000,
