X1/0.960000,X2/0.780000,X3/0.840000,X4/0.650000,
X1/0.930000,X2/0.240000,X3/0.890000,X4/0.720000,
X1/0.890000,X2/0.640000,X3/0.710000,X4/0.750000,
X1/0.850000,X2/0.700000,X3/0.660000,X4/0.600000,
X1/0.810000,X2/0.700000,X3/0.830000,X4/0.740000,
X1/0.770000,X2/0.620000,X3/0.810000,X4/0.770000,
X1/0.720000,X2/1.000000,X3/0.910000,X4/0.610000,
X1/0.680000,X2/0.740000,X3/0.710000,X4/0.180000,
X1/0.630000,X2/0.860000,X3/0.970000,X4/0.870000,
X1/0.570000,X2/0.990000,X3/0.920000,X4/0.680000,
X1/0.460000,X2/0.990000,X3/0.850000,X4/0.110000,
X1/0.150000,X3/0.740000,X4/0.900000,
