X1/0.960000,X2/0.760000,X3/0.800000,X4/0.690000,
X1/0.930000,X2/0.150000,X3/0.970000,X4/0.930000,
X1/0.880000,X2/0.670000,X3/0.840000,X4/0.860000,
X1/0.840000,X2/0.780000,X3/0.670000,X4/0.110000,
X1/0.800000,X2/0.750000,X3/0.510000,X4/0.510000,
X1/0.760000,X2/0.610000,X3/0.600000,X4/0.780000,
X1/0.710000,X2/0.910000,X3/0.720000,X4/0.620000,
X1/0.660000,X2/0.920000,X3/0.200000,X4/0.510000,
X1/0.610000,X2/0.220000,X3/0.570000,X4/0.520000,
X1/0.530000,X2/0.750000,X3/0.890000,X4/0.500000,
X1/0.220000,X2/0.630000,X3/0.610000,
