X1/0.970000,X2/0.760000,X3/0.640000,X4/0.280000,
X1/0.940000,X2/0.060000,X4/0.910000,
X1/0.900000,X2/0.670000,X3/0.280000,X4/0.780000,
X1/0.850000,X2/0.820000,X3/0.380000,X4/0.130000,
X1/0.810000,X2/0.880000,X3/0.970000,X4/0.480000,
X1/0.770000,X2/0.820000,X3/0.520000,X4/0.630000,
X1/0.730000,X2/0.560000,X3/0.670000,X4/0.080000,
X1/0.680000,X2/0.720000,X3/0.720000,X4/0.740000,
X1/0.630000,X2/0.120000,X3/0.910000,X4/0.660000,
X1/0.550000,X2/1.000000,X3/0.590000,X4/0.710000,
X1/0.210000,X2/0.820000,X3/0.830000,X4/0.620000,
