X1/0.970000,X2/0.930000,X3/0.220000,X4/0.530000,
X1/0.940000,X2/0.780000,X3/0.820000,X4/0.320000,
X1/0.910000,X2/0.590000,X3/0.950000,X4/0.330000,
X1/0.870000,X2/0.940000,X3/0.690000,X4/0.570000,
X1/0.840000,X2/0.550000,X3/0.470000,X4/0.610000,
X1/0.800000,X2/0.600000,X3/0.530000,X4/0.420000,
X1/0.740000,X2/1.000000,X3/0.690000,X4/0.740000,
X1/0.700000,X2/0.530000,X3/0.980000,X4/0.630000,
X1/0.640000,X2/0.380000,X3/0.800000,X4/0.430000,
X1/0.550000,X2/0.890000,X3/0.900000,X4/0.780000,
X1/0.180000,X2/0.710000,X4/0.590000,
