X1/0.960000,X2/0.650000,X3/0.680000,X4/0.130000,
X1/0.910000,X2/0.800000,X3/0.230000,X4/0.840000,
X1/0.860000,X2/0.890000,X3/0.780000,X4/0.660000,
X1/0.820000,X2/0.930000,X3/0.460000,X4/0.590000,
X1/0.780000,X2/0.890000,X3/0.540000,X4/0.590000,
X1/0.740000,X2/0.780000,X3/0.130000,X4/0.860000,
X1/0.700000,X2/0.260000,X3/0.870000,X4/0.570000,
X1/0.650000,X2/0.440000,X3/0.610000,X4/0.220000,
X1/0.580000,X2/0.930000,X3/0.590000,X4/0.360000,
X1/0.450000,X2/0.960000,X3/0.590000,X4/0.710000,
X1/0.060000,X2/0.980000,X3/0.960000,X4/0.790000,
