X1/0.980000,X2/0.740000,X3/0.240000,X4/0.350000,
X1/0.950000,X2/0.470000,X3/0.220000,X4/0.210000,
X1/0.930000,X2/0.200000,X3/0.070000,X4/0.030000,
X1/0.890000,X2/0.830000,X3/0.410000,X4/0.210000,
X1/0.870000,X2/0.530000,X3/0.220000,X4/0.550000,
X1/0.850000,X2/0.240000,X3/0.650000,X4/0.060000,
X1/0.820000,X2/0.850000,X3/0.960000,X4/0.540000,
X1/0.790000,X2/0.540000,X3/0.700000,X4/0.020000,
X1/0.760000,X2/0.240000,X3/0.720000,X4/0.850000,
X1/0.710000,X2/0.830000,X3/0.940000,X4/0.970000,
X1/0.690000,X2/0.480000,X3/0.110000,X4/0.170000,
X1/0.670000,X2/0.060000,X3/0.330000,X4/0.080000,
X1/0.640000,X2/0.560000,X3/0.300000,X4/0.920000,
X1/0.620000,X2/0.120000,X3/0.700000,X4/0.450000,
X1/0.590000,X2/0.560000,X3/0.700000,X4/0.710000,
X1/0.570000,X2/0.040000,X3/0.610000,X4/0.240000,
X1/0.540000,X2/0.460000,X3/0.970000,X4/0.330000,
X1/0.500000,X2/0.810000,X3/0.540000,X4/0.710000,
X1/0.480000,X2/0.130000,X3/0.930000,X4/0.710000,
X1/0.440000,X2/0.340000,X3/0.720000,X4/0.210000,
X1/0.410000,X2/0.400000,X3/0.700000,X4/0.310000,
X1/0.380000,X2/0.400000,X3/0.970000,X4/0.040000,
X1/0.350000,X2/0.340000,X4/0.590000,
X1/0.310000,X2/0.980000,X3/0.210000,X4/0.320000,
X1/0.280000,X2/0.390000,X3/0.160000,X4/0.590000,
X1/0.240000,X2/0.200000,X3/0.340000,X4/0.040000,
X1/0.190000,X2/0.110000,X3/0.410000,X4/0.420000,
X1/0.120000,X2/0.500000,X3/0.990000,X4/0.960000,
X2/0.570000,X3/0.300000,X4/0.450000,
