X1/0.950000,X2/0.610000,X3/0.150000,X4/0.550000,
X1/0.930000,X2/0.210000,X3/0.260000,X4/0.740000,
X1/0.900000,X2/0.630000,X3/0.170000,X4/0.420000,
X1/0.870000,X2/0.170000,X3/0.140000,X4/0.420000,
X1/0.830000,X2/0.570000,X3/0.940000,X4/0.490000,
X1/0.790000,X2/0.090000,X3/0.410000,X4/0.470000,
X1/0.760000,X2/0.530000,X3/0.080000,X4/0.910000,
X1/0.730000,X2/0.960000,X3/0.590000,X4/0.090000,
X1/0.710000,X2/0.470000,X3/0.190000,X4/0.910000,
X1/0.680000,X2/0.900000,X3/0.490000,X4/0.800000,
X1/0.660000,X2/0.400000,X3/0.510000,X4/0.110000,
X1/0.630000,X2/0.800000,X3/0.870000,X4/0.250000,
X1/0.610000,X2/0.260000,X3/0.860000,X4/0.130000,
X1/0.580000,X2/0.580000,X3/0.510000,X4/0.220000,
X1/0.550000,X2/0.930000,X3/0.380000,X4/0.780000,
X1/0.530000,X2/0.270000,X3/0.250000,X4/0.050000,
X1/0.500000,X2/0.490000,X3/0.580000,X4/0.920000,
X1/0.470000,X2/0.630000,X3/0.580000,X4/0.120000,
X1/0.440000,X2/0.660000,X3/0.690000,X4/0.150000,
X1/0.410000,X2/0.570000,X3/0.400000,X4/0.840000,
X1/0.380000,X2/0.340000,X3/0.740000,X4/0.110000,
X1/0.340000,X2/0.750000,X3/0.200000,X4/0.500000,
X1/0.300000,X2/0.970000,X3/0.640000,X4/0.560000,
X1/0.260000,X2/0.910000,X3/0.220000,X4/0.170000,
X1/0.220000,X2/0.460000,X3/0.390000,X4/0.160000,
X1/0.170000,X2/0.140000,X3/0.220000,X4/0.250000,
X1/0.090000,X2/0.760000,X3/0.250000,X4/0.430000,
