X1/0.990000,X2/0.120000,X3/0.830000,X4/0.140000,
X1/0.950000,X2/0.210000,X3/0.190000,X4/0.630000,
X1/0.920000,X2/0.280000,X3/0.940000,X4/0.400000,
X1/0.870000,X2/0.340000,X3/0.150000,X4/0.540000,
X1/0.820000,X2/0.390000,X3/0.030000,
X1/0.790000,X2/0.440000,X3/0.530000,
X1/0.750000,X2/0.500000,X3/0.650000,X4/0.360000,
X1/0.720000,X2/0.540000,X3/0.360000,X4/0.840000,
X1/0.700000,X2/0.570000,X3/0.940000,X4/0.650000,
X1/0.630000,X2/0.600000,X3/0.850000,X4/0.060000,
X1/0.600000,X2/0.620000,X3/0.120000,X4/0.600000,
X1/0.560000,X2/0.620000,X3/0.440000,X4/0.520000,
X1/0.540000,X2/0.610000,X3/0.990000,X4/0.970000,
X1/0.510000,X2/0.600000,X3/0.870000,X4/0.490000,
X1/0.480000,X2/0.560000,X3/0.530000,X4/0.910000,
X1/0.460000,X2/0.490000,X3/0.850000,X4/0.130000,
X1/0.440000,X2/0.360000,X3/0.750000,X4/0.110000,
X1/0.420000,X2/0.220000,X3/0.990000,X4/0.060000,
X1/0.390000,X2/0.940000,X3/0.400000,X4/0.060000,
X1/0.370000,X2/0.630000,X3/0.560000,X4/0.980000,
X1/0.350000,X2/0.340000,X3/0.940000,X4/0.820000,
X1/0.320000,X2/0.990000,X3/0.380000,X4/0.800000,
X1/0.300000,X2/0.570000,X3/0.460000,X4/0.790000,
X1/0.280000,X2/0.140000,X3/0.580000,X4/0.690000,
X1/0.240000,X2/0.540000,X3/0.930000,X4/0.270000,
X1/0.210000,X2/0.820000,X3/0.810000,X4/0.790000,
X1/0.190000,X2/0.030000,X3/0.940000,X4/0.870000,
X1/0.150000,X2/0.800000,X3/0.310000,X4/0.310000,
X1/0.120000,X2/0.230000,X3/0.670000,X4/0.530000,
X1/0.070000,X2/0.400000,X3/0.530000,
