X1/0.960000,X2/0.930000,X3/0.780000,X4/0.420000,
X1/0.920000,X2/0.810000,X3/0.890000,X4/0.450000,
X1/0.890000,X2/0.680000,X3/0.640000,X4/0.070000,
X1/0.870000,X2/0.520000,X3/0.070000,X4/0.650000,
X1/0.830000,X2/0.380000,X3/0.740000,X4/0.260000,
X1/0.810000,X2/0.230000,X3/0.290000,X4/0.110000,
X1/0.770000,X2/0.970000,X3/0.500000,X4/0.440000,
X1/0.750000,X2/0.720000,X3/0.320000,X4/0.490000,
X1/0.710000,X2/0.510000,X3/0.130000,X4/0.110000,
X1/0.690000,X2/0.310000,X3/0.100000,
X1/0.660000,X2/0.990000,X3/0.120000,X4/0.730000,
X1/0.640000,X2/0.680000,X3/0.260000,X4/0.930000,
X1/0.620000,X2/0.390000,X3/0.580000,X4/0.900000,
X1/0.600000,X2/0.030000,X3/0.150000,X4/0.450000,
X1/0.570000,X2/0.610000,X3/0.450000,X4/0.630000,
X1/0.550000,X2/0.210000,X3/0.390000,X4/0.650000,
X1/0.520000,X2/0.670000,X3/0.460000,X4/0.780000,
X1/0.500000,X2/0.110000,X3/0.220000,X4/0.450000,
X1/0.470000,X2/0.420000,X3/0.130000,X4/0.570000,
X1/0.440000,X2/0.700000,X3/0.660000,X4/0.330000,
X1/0.410000,X2/0.980000,X3/0.440000,X4/0.050000,
X1/0.390000,X2/0.050000,X3/0.040000,X4/0.940000,
X1/0.350000,X2/1.000000,X3/0.480000,X4/0.520000,
X1/0.320000,X2/0.820000,X3/0.280000,X4/0.780000,
X1/0.290000,X2/0.450000,X3/0.700000,X4/0.390000,
X1/0.260000,X3/0.160000,X4/0.860000,
X1/0.210000,X2/0.480000,X3/0.970000,X4/0.760000,
X1/0.170000,X2/0.610000,X3/0.250000,X4/0.440000,
X1/0.120000,X2/0.730000,X3/0.330000,X4/0.050000,
X1/0.050000,X2/0.260000,X3/0.920000,X4/0.060000,
