X1/0.990000,X2/0.190000,X3/0.520000,X4/0.640000,
X1/0.970000,X2/0.300000,X3/0.510000,X4/0.310000,
X1/0.910000,X2/0.400000,X3/0.800000,X4/0.120000,
X1/0.880000,X2/0.500000,X3/0.830000,X4/0.820000,
X1/0.850000,X2/0.580000,X3/0.630000,X4/0.810000,
X1/0.820000,X2/0.640000,X3/0.730000,X4/0.560000,
X1/0.780000,X2/0.720000,X3/0.740000,X4/0.200000,
X1/0.740000,X2/0.790000,X3/0.630000,X4/0.920000,
X1/0.700000,X2/0.870000,X3/0.670000,X4/0.370000,
X1/0.680000,X2/0.920000,X3/0.020000,X4/0.520000,
X1/0.660000,X2/0.920000,X3/0.270000,X4/0.670000,
X1/0.640000,X2/0.920000,X3/0.150000,X4/0.780000,
X1/0.600000,X2/0.890000,X3/0.180000,X4/0.350000,
X1/0.580000,X2/0.820000,X3/0.240000,X4/0.310000,
X1/0.540000,X2/0.750000,X3/0.310000,X4/0.150000,
X1/0.520000,X2/0.670000,X3/0.350000,X4/0.420000,
X1/0.490000,X2/0.560000,X3/0.660000,X4/0.960000,
X1/0.470000,X2/0.440000,X3/0.540000,X4/0.470000,
X1/0.430000,X2/0.270000,X3/0.870000,X4/0.540000,
X1/0.410000,X2/0.100000,X3/0.510000,X4/0.170000,
X1/0.380000,X2/0.870000,X3/0.870000,X4/0.320000,
X1/0.360000,X2/0.700000,X3/0.370000,X4/0.350000,
X1/0.340000,X2/0.500000,X3/0.870000,X4/0.370000,
X1/0.320000,X2/0.250000,X3/0.680000,X4/0.680000,
X1/0.290000,X2/0.910000,X3/0.360000,X4/0.380000,
X1/0.270000,X2/0.600000,X3/0.830000,X4/0.140000,
X1/0.250000,X2/0.230000,X3/0.390000,X4/0.950000,
X1/0.220000,X2/0.700000,X3/0.590000,X4/0.030000,
X1/0.200000,X2/0.150000,X3/0.120000,X4/0.950000,
X1/0.170000,X2/0.450000,X3/0.820000,X4/0.680000,
X1/0.140000,X2/0.530000,X3/0.250000,X4/0.550000,
X1/0.110000,X2/0.300000,X3/0.590000,X4/0.160000,
X1/0.070000,X2/0.580000,X3/0.190000,X4/0.420000,
X2/0.600000,X3/0.440000,X4/0.210000,
