X1/0.970000,X2/0.910000,X3/0.900000,X4/0.260000,
X1/0.950000,X2/0.800000,X3/0.640000,X4/0.440000,
X1/0.930000,X2/0.670000,X3/0.670000,X4/0.680000,
X1/0.900000,X2/0.450000,X3/0.360000,X4/0.510000,
X1/0.880000,X2/0.260000,X3/0.070000,X4/0.520000,
X1/0.850000,X2/0.990000,X3/0.600000,X4/0.890000,
X1/0.820000,X2/0.690000,X3/0.490000,X4/0.930000,
X1/0.800000,X2/0.430000,X3/0.070000,X4/0.320000,
X1/0.780000,X2/0.160000,X3/0.340000,X4/0.570000,
X1/0.740000,X2/0.780000,X3/0.790000,X4/0.180000,
X1/0.700000,X2/0.420000,X3/0.650000,X4/0.760000,
X1/0.670000,X2/1.000000,X3/0.340000,X4/0.030000,
X1/0.620000,X2/0.510000,X3/0.850000,X4/0.350000,
X1/0.590000,X2/1.000000,X3/0.660000,
X1/0.570000,X2/0.440000,X3/0.810000,X4/0.650000,
X1/0.540000,X2/0.830000,X3/0.790000,X4/0.710000,
X1/0.520000,X2/0.200000,X3/0.730000,X4/0.220000,
X1/0.490000,X2/0.390000,X3/0.730000,X4/0.130000,
X1/0.460000,X2/0.540000,X3/0.100000,X4/0.450000,
X1/0.410000,X2/0.660000,X3/0.210000,X4/0.250000,
X1/0.380000,X2/0.710000,X3/0.100000,X4/0.150000,
X1/0.350000,X2/0.700000,X3/0.710000,X4/0.650000,
X1/0.310000,X2/0.530000,X3/0.570000,X4/0.080000,
X1/0.280000,X2/0.270000,X3/0.850000,X4/0.060000,
X1/0.240000,X2/0.770000,X3/0.110000,X4/0.560000,
X1/0.210000,X2/0.070000,X3/0.340000,X4/0.100000,
X1/0.170000,X2/0.050000,X3/0.890000,X4/0.590000,
X1/0.120000,X2/0.230000,X3/0.340000,X4/0.650000,
X1/0.020000,X2/0.650000,X3/0.440000,X4/0.830000,
