X1/0.980000,X2/0.530000,X3/0.590000,X4/0.720000,
X1/0.950000,X2/0.680000,X3/0.460000,X4/0.250000,
X1/0.920000,X2/0.770000,X3/0.600000,X4/0.560000,
X1/0.890000,X2/0.830000,X3/0.370000,X4/0.530000,
X1/0.860000,X2/0.810000,X3/0.800000,X4/0.500000,
X1/0.830000,X2/0.750000,X3/0.330000,X4/0.690000,
X1/0.800000,X2/0.640000,X3/0.090000,X4/0.520000,
X1/0.770000,X2/0.350000,X3/0.810000,X4/0.630000,
X1/0.730000,X2/0.900000,X3/0.820000,X4/0.070000,
X1/0.700000,X2/0.660000,X3/0.540000,X4/0.450000,
X1/0.660000,X2/0.950000,X3/0.220000,X4/0.750000,
X1/0.630000,X2/0.280000,X3/0.710000,X4/0.530000,
X1/0.580000,X2/0.940000,X3/0.980000,X4/0.980000,
X1/0.530000,X2/0.740000,X3/0.440000,X4/0.800000,
X1/0.440000,X2/0.980000,X3/0.640000,X4/0.980000,
X1/0.350000,X2/0.640000,X3/0.260000,X4/0.700000,
X1/0.140000,X2/0.860000,X3/0.300000,X4/0.880000,
