X1/0.980000,X2/0.640000,X3/0.160000,X4/0.690000,
X1/0.950000,X2/0.900000,X3/0.820000,X4/0.510000,
X1/0.930000,X2/0.320000,X3/0.610000,X4/0.750000,
X1/0.900000,X2/0.630000,X3/0.670000,X4/0.310000,
X1/0.870000,X2/0.750000,X3/0.450000,X4/0.910000,
X1/0.840000,X2/0.780000,X3/0.710000,X4/0.930000,
X1/0.800000,X2/0.610000,X3/0.700000,X4/0.930000,
X1/0.760000,X2/0.920000,X3/0.180000,X4/0.700000,
X1/0.720000,X2/1.000000,X3/0.920000,X4/0.810000,
X1/0.680000,X2/0.970000,X3/0.470000,X4/0.210000,
X1/0.640000,X2/0.700000,X3/0.030000,X4/0.960000,
X1/0.590000,X2/0.590000,X3/0.950000,X4/0.910000,
X1/0.520000,X2/0.740000,X3/0.640000,X4/0.730000,
X1/0.350000,X2/0.970000,X3/0.540000,X4/0.900000,
X2/0.840000,X3/0.460000,X4/0.050000,
