X1/0.960000,X2/0.860000,X3/0.880000,X4/0.380000,
X1/0.930000,X2/0.610000,X3/0.730000,X4/0.570000,
X1/0.890000,X2/0.850000,X3/0.530000,X4/0.860000,
X1/0.850000,X2/0.960000,X3/0.790000,X4/0.700000,
X1/0.820000,X2/0.150000,X3/0.410000,X4/0.610000,
X1/0.770000,X2/0.970000,X3/0.890000,X4/0.310000,
X1/0.730000,X2/0.830000,X3/0.820000,X4/0.580000,
X1/0.680000,X2/0.970000,X3/0.120000,X4/0.490000,
X1/0.630000,X2/0.950000,X3/0.470000,X4/0.390000,
X1/0.570000,X2/0.900000,X3/0.710000,X4/0.970000,
X1/0.480000,X2/0.960000,X3/0.330000,X4/0.770000,
X1/0.310000,X2/0.970000,X3/0.530000,X4/0.510000,
X2/0.970000,X3/0.080000,X4/0.750000,
