X1/0.970000,X2/0.940000,X3/0.850000,X4/0.620000,
X1/0.940000,X2/0.840000,X3/0.600000,X4/0.680000,
X1/0.910000,X2/0.680000,X3/0.980000,X4/0.570000,
X1/0.880000,X2/0.290000,X3/0.480000,X4/0.770000,
X1/0.840000,X2/0.750000,X3/0.610000,X4/0.040000,
X1/0.800000,X2/0.880000,X3/0.530000,X4/0.410000,
X1/0.760000,X2/0.860000,X3/0.990000,X4/0.670000,
X1/0.720000,X2/0.640000,X3/0.820000,X4/0.350000,
X1/0.670000,X2/0.890000,X3/0.190000,X4/0.540000,
X1/0.620000,X2/0.660000,X3/0.270000,X4/0.810000,
X1/0.550000,X2/0.890000,X3/0.790000,X4/0.550000,
X1/0.420000,X2/0.990000,X3/0.750000,X4/0.180000,
X1/0.270000,X2/0.920000,X3/0.840000,X4/0.630000,
