X1/0.970000,X2/0.150000,X3/0.190000,X4/0.930000,
X1/0.930000,X2/0.250000,X3/0.120000,X4/0.210000,
X1/0.890000,X2/0.350000,X3/0.180000,X4/0.210000,
X1/0.850000,X2/0.430000,X3/0.900000,X4/0.150000,
X1/0.800000,X2/0.470000,X3/0.410000,X4/0.320000,
X1/0.760000,X2/0.480000,X3/0.290000,X4/0.450000,
X1/0.730000,X2/0.430000,X3/0.420000,X4/0.390000,
X1/0.700000,X2/0.340000,X3/0.900000,X4/0.430000,
X1/0.670000,X2/0.210000,X3/0.980000,X4/0.880000,
X1/0.630000,X2/0.060000,X3/0.120000,X4/0.120000,
X1/0.590000,X2/0.720000,X3/0.150000,X4/0.450000,
X1/0.540000,X2/0.430000,X3/0.230000,X4/0.880000,
X1/0.510000,X2/0.160000,X3/0.360000,X4/0.070000,
X1/0.470000,X2/0.590000,X3/0.700000,X4/0.050000,
X1/0.440000,X2/0.130000,X3/0.150000,X4/0.210000,
X1/0.400000,X2/0.360000,X3/0.350000,X4/0.180000,
X1/0.360000,X2/0.400000,X3/0.640000,X4/0.150000,
X1/0.320000,X2/0.330000,X3/0.300000,X4/0.520000,
X1/0.280000,X3/0.490000,X4/0.840000,
X1/0.230000,X2/0.180000,X3/0.940000,X4/0.970000,
X1/0.170000,X2/0.920000,X3/0.120000,X4/0.020000,
X1/0.100000,X2/0.530000,X3/0.570000,X4/0.080000,
