X1/0.930000,X2/0.220000,X3/0.920000,X4/0.310000,
X1/0.730000,X2/0.360000,X3/0.540000,X4/0.100000,
X1/0.640000,X2/0.470000,X3/0.230000,X4/0.070000,
X1/0.570000,X2/0.620000,X3/0.170000,X4/0.760000,
X1/0.480000,X2/0.720000,X3/0.420000,X4/0.430000,
X1/0.450000,X2/0.770000,X3/0.380000,X4/0.210000,
X1/0.420000,X2/0.780000,X4/0.340000,
X1/0.390000,X2/0.720000,X3/0.590000,X4/0.150000,
X1/0.360000,X2/0.570000,X3/0.590000,X4/0.820000,
X1/0.330000,X2/0.420000,X3/0.610000,X4/0.250000,
X1/0.300000,X2/0.240000,X3/0.170000,X4/0.170000,
X1/0.260000,X2/0.800000,X3/0.110000,X4/0.180000,
X1/0.230000,X2/0.350000,X3/0.300000,X4/0.620000,
X1/0.190000,X2/0.630000,X3/0.500000,X4/0.600000,
X1/0.150000,X2/0.660000,X3/0.060000,X4/0.190000,
X1/0.110000,X2/0.320000,X3/0.310000,X4/0.250000,
X1/0.050000,X2/0.680000,X3/0.700000,X4/0.510000,
