X1/0.970000,X2/0.150000,X3/0.040000,X4/0.080000,
X1/0.920000,X2/0.280000,X3/0.110000,X4/0.450000,
X1/0.840000,X2/0.390000,X3/0.590000,X4/0.340000,
X1/0.780000,X2/0.550000,X3/0.020000,X4/0.170000,
X1/0.710000,X2/0.770000,X3/0.750000,X4/0.390000,
X1/0.670000,X2/0.920000,X3/0.120000,X4/0.060000,
X1/0.640000,X2/0.080000,X3/0.390000,X4/0.540000,
X1/0.590000,X2/0.060000,X3/0.160000,X4/0.420000,
X1/0.550000,X2/0.030000,X3/0.320000,X4/0.100000,
X1/0.490000,X2/0.940000,X3/0.220000,X4/0.060000,
X1/0.430000,X2/0.800000,X3/0.130000,X4/0.050000,
X1/0.390000,X2/0.450000,X3/0.660000,X4/0.980000,
X1/0.350000,X2/0.040000,X3/0.250000,X4/0.730000,
X1/0.290000,X2/0.940000,X3/0.680000,X4/0.860000,
X1/0.240000,X2/0.230000,X3/0.520000,X4/0.050000,
X1/0.170000,X2/0.860000,X3/0.550000,X4/0.090000,
X1/0.090000,X2/0.330000,X3/0.560000,X4/0.200000,
