X1/0.920000,X2/0.430000,X3/0.550000,X4/0.960000,
X1/0.840000,X2/0.960000,X3/0.600000,X4/0.390000,
X1/0.770000,X2/0.390000,X3/0.380000,X4/0.120000,
X1/0.720000,X2/0.900000,X3/0.560000,X4/0.770000,
X1/0.700000,X2/0.340000,X3/0.880000,X4/0.550000,
X1/0.640000,X2/0.850000,X3/0.360000,X4/0.530000,
X1/0.570000,X2/0.300000,X3/0.180000,X4/0.270000,
X1/0.500000,X2/0.770000,X3/0.570000,X4/0.130000,
X1/0.480000,X2/0.190000,X3/0.210000,X4/0.520000,
X1/0.450000,X2/0.490000,X3/0.450000,X4/0.220000,
X1/0.420000,X2/0.950000,X3/0.080000,X4/0.590000,
X1/0.400000,X2/0.270000,X3/0.110000,X4/0.630000,
X1/0.360000,X2/0.500000,X3/0.690000,X4/0.720000,
X1/0.330000,X2/0.830000,X3/0.410000,X4/0.680000,
X1/0.300000,X2/0.960000,X3/0.700000,X4/0.080000,
X1/0.280000,X2/0.120000,X3/0.880000,X4/0.080000,
X1/0.250000,X2/0.220000,X3/0.390000,X4/0.610000,
X1/0.220000,X2/0.270000,X3/0.110000,X4/0.360000,
X1/0.190000,X2/0.060000,X3/0.390000,X4/0.700000,
X1/0.150000,X2/0.410000,X3/0.360000,X4/0.340000,
X1/0.110000,X2/0.180000,X3/0.120000,X4/0.600000,
X1/0.040000,X2/0.950000,X3/0.750000,X4/0.720000,
