X1/0.800000,X2/0.640000,X3/0.070000,X4/0.730000,
X1/0.740000,X2/0.470000,X3/0.790000,X4/0.400000,
X1/0.630000,X2/0.320000,X3/0.360000,X4/0.630000,
X1/0.590000,X2/0.170000,X3/0.280000,X4/0.400000,
X1/0.470000,X2/0.770000,X3/0.620000,X4/0.450000,
X1/0.440000,X2/0.480000,X3/0.150000,X4/0.230000,
X1/0.390000,X2/0.220000,X3/0.430000,X4/0.300000,
X1/0.330000,X2/0.620000,X3/0.320000,X4/0.720000,
X1/0.300000,X2/0.200000,X3/0.810000,X4/0.710000,
X1/0.250000,X2/0.410000,X3/0.360000,X4/0.720000,
X1/0.210000,X2/0.520000,X3/0.190000,
X1/0.160000,X2/0.430000,X3/0.860000,X4/0.690000,
X1/0.120000,X2/0.230000,X3/0.190000,X4/0.340000,
X1/0.070000,X2/0.300000,X3/0.590000,X4/0.190000,
