X1/0.970000,X2/0.890000,X3/0.630000,X4/0.580000,
X1/0.940000,X2/0.760000,X3/0.790000,X4/0.900000,
X1/0.910000,X2/0.580000,X3/0.950000,X4/0.020000,
X1/0.870000,X2/0.960000,X3/0.620000,X4/0.740000,
X1/0.840000,X2/0.750000,X3/0.170000,X4/0.700000,
X1/0.810000,X2/0.220000,X3/0.800000,X4/0.610000,
X1/0.770000,X2/0.690000,X3/0.140000,X4/0.480000,
X1/0.730000,X2/0.770000,X3/0.880000,X4/0.690000,
X1/0.690000,X2/0.650000,X3/0.960000,X4/0.520000,
X1/0.640000,X2/0.880000,X3/0.850000,X4/0.910000,
X1/0.590000,X2/0.630000,X3/0.540000,
X1/0.510000,X2/0.610000,X3/0.920000,X4/0.820000,
X1/0.270000,X2/0.700000,X3/0.920000,X4/0.880000,
