X1/0.980000,X2/0.330000,X3/0.820000,X4/0.630000,
X1/0.950000,X2/0.460000,X3/0.760000,X4/0.870000,
X1/0.920000,X2/0.240000,X3/0.570000,X4/0.620000,
X1/0.880000,X2/0.890000,X3/0.240000,X4/0.720000,
X1/0.850000,X2/0.530000,X3/0.880000,X4/0.880000,
X1/0.810000,X2/0.720000,X3/0.650000,X4/0.610000,
X1/0.770000,X2/0.800000,X3/0.460000,X4/0.750000,
X1/0.730000,X2/0.750000,X3/0.980000,X4/0.020000,
X1/0.690000,X2/0.540000,X3/0.600000,X4/0.310000,
X1/0.640000,X2/0.590000,X3/0.960000,X4/0.810000,
X1/0.580000,X2/0.690000,X3/0.980000,X4/0.620000,
X1/0.470000,X2/0.660000,X3/0.910000,X4/0.520000,
X1/0.180000,X2/0.530000,X4/0.830000,
