X1/0.970000,X2/0.860000,X3/0.770000,X4/0.100000,
X1/0.940000,X2/0.620000,X3/0.680000,X4/0.460000,
X1/0.900000,X2/0.930000,X3/0.640000,X4/0.950000,
X1/0.870000,X2/0.590000,X3/0.700000,X4/0.550000,
X1/0.820000,X2/0.700000,X3/0.860000,X4/0.300000,
X1/0.780000,X2/0.720000,X3/0.920000,X4/0.090000,
X1/0.740000,X2/0.390000,X3/0.860000,X4/0.840000,
X1/0.690000,X2/0.700000,X3/0.670000,X4/0.460000,
X1/0.640000,X2/0.630000,X3/0.750000,X4/0.810000,
X1/0.580000,X2/0.720000,X3/0.860000,X4/0.060000,
X1/0.440000,X2/0.540000,X3/0.590000,X4/0.810000,
X2/0.620000,X3/0.730000,X4/0.610000,
